shipment_mode,total_cost
Air,9727.2
Air,15000
Air,42805
Air,5112.6
Air,24991.9979
Air,37474.65
Ocean,100770.5
Air,15434.4
Ocean,16909
Air,55974.6
Air,37588.05
Air,1044.312197
Ocean,51832.9515
Ocean,45147
Air,6020.433051
Air,21465
Air,100935
Ocean,100557.865
Ocean,87900
Air,154059.7965
Air,60343.2
Air,107468.04
Ocean,16360.2
Air,128610
Air,25745.72479
Ocean,16449.6
Ocean,152618.9
Ocean,60462.3
Air,54571
Air,20460.986
Ocean,128988.9
Air,2559.3
Air,180338.48
Air,28468.3
Ocean,128132.4
Air,60524.25
Air,102352.24
Air,50652.25
Air,92269.44
Ocean,20801.25
Air,181106.1
Ocean,69360
Air,60338.6
Ocean,13587
Air,171240
Air,20330.4
Air,31244.5
Air,12044.305
Air,9315.6
Air,60770.9
Air,35380
Air,15682.45
Ocean,26077.5
Ocean,100553.1
Air,10082.88
Air,50013.70163
Ocean,100530.35
Ocean,21840.75
Ocean,25451.635
Ocean,92357.55
Air,5504.265
Ocean,170600
Air,5536.8
Air,16711.05
Ocean,27483
Air,46325
Air,12209.4
Air,15800.4
Air,50551.758
Ocean,25550.25
Air,64659
Air,60428.55
Ocean,17512
Ocean,11206.25
Air,30106.89
Ocean,73144.5
Air,20900.25
Air,91385.04
Ocean,40055.29
Air,5508.97
Ocean,55811.25
Air,30627.43
Ocean,5464.495
Ocean,180170.2096
Air,5438.416
Ocean,51516
Air,32794.9
Air,5465.681
Air,55428.84
Air,26781
Air,186382.56
Ocean,60697.1475
Air,27751.95
Air,60943.32
Air,36616.05
Ocean,17440
Ocean,18091.25
Ocean,100062
Air,37790.55
Ocean,26925
Ocean,10781.25
Ocean,135012.9
Air,45934.8
Air,28022.4
Air,20391.5558
Air,35692.2
Air,42874.5
Ocean,23084.875
Air,51476.25
Air,28454.66952
Air,20614.2
Ocean,10512
Air,43186.40727
Air,20051.0532
Air,23113.2
Ocean,9261
Air,111752.9847
Air,9707.25
Air,30059.91
Air,73410.62
Air,26061
Air,93044.94
Air,7091.76
Air,30466.6
Air,26040
Ocean,15688.75
Air,28182
Ocean,60034.65
Ocean,17958
Ocean,67220.55
Ocean,81567
Ocean,179300
Air,15053.587
Air,20512.8
Air,51548.75
Ocean,46535.75
Air,10370.425
Ocean,18409
Air,26760.7
Ocean,17120.78
Air,13630.4
Ocean,125536.895
Air,46631.7
Ocean,18498.8
Air,6223.68
Air,46682.2
Air,90889
Air,100510.5
Air,11236.25
Air,20187.1
Ocean,60638.75
Ocean,77094
Air,4456.5
Ocean,46687.25
Ocean,50468
Ocean,18512.2
Ocean,42577.85
Ocean,50468
Air,94168.5
Air,21715
Air,1280.55
Air,50842
Air,45913
Air,43339.1
Ocean,50646.6
Ocean,114470.9
Air,135332.6108
Ocean,20099.82
Ocean,91800
Air,8786
Air,61347
Air,44794.43512
Ocean,200004.66
Air,47175
Air,183109.52
Air,30244.23
Air,9231
Air,10700
Air,54365.3
Air,9429
Ocean,100563.6
Air,40772.5
Ocean,27343.25
Ocean,15082.65
Ocean,87950
Ocean,128400
Air,18462.265
Ocean,5051.75
Air,20420.6352
Air,93497.64
Ocean,189655.6
Air,10457.72
Air,79382.16
Air,51548.75
Air,15600.48
Air,5504.4
Air,20689.765
Ocean,13447.5
Air,20530.56
